TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
NIPPUR 430,2016,Ishbi-Erra,4,-,-,E-Enlil (IT - Inana Temple Texts),Nippur's Inana Temple,Administrative,,Level 4,5N-T0077,-,IM 059670,-,P105004,-,"BBVO 11 264, 5N-T077",-
NIPPUR 431,2014,Ishbi-Erra,6,12,-,E-Enlil (IT - Inana Temple Texts),Nippur's Inana Temple,Administrative,,Level 4,5N-T0656,-,OIM A30784,-,P105018,-,"BBVO 11 268, 5N-T656",-
NIPPUR 453,2014,Ishbi-Erra,6,12,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0686,-,UM 55-21-130,-,P200667,-,JANES 18 41 01,-
NIPPUR 454,2003,Ishbi-Erra,17,4,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0559,-,OIM A29996,-,P200668,-,JANES 18 41 02,-
NIPPUR 452,1991,Ishbi-Erra,29,12d,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0556,-,UM 55-21-081,-,P200666,-,JANES 18 42 03,-
NIPPUR 420,1988,Ishbi-Erra,32,2, -,"E-Enlil (Order, bread)",Nippur's Scribal Quarter (TB),Administrative,153,III/1,2N-T0569,-,OIM A30006,T22279,P200669,A 30006 = 2NT-569,JANES 18 42 04,Van De Mieroop JANES 18 4
NIPPUR 455,1988,Ishbi-Erra,32,2,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0578,-,OIM A30013,-,P200670,-,JANES 18 43 05,-
NIPPUR 456,1988,Ishbi-Erra,32,5,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0567,-,OIM A30004,-,P200671,-,JANES 18 44 06,-
NIPPUR 457,1988,Ishbi-Erra,32,9,-,"E-Enlil (Deliveries, flour sa-du)",Nippur's Scribal Quarter (TB),Administrative - Donation,153,III/1,2N-T0568,-,OIM A30005,-,P200672,-,JANES 18 44 07,-
NIPPUR 421,1986,Shu-ilishu,1,2, -,"E-Enlil (Order, bread)",Nippur's Scribal Quarter (TB),Administrative,153,III/1,2N-T0555,-,OIM A29993,T22280,P200673,A 29993 = 2NT-555,JANES 18 44 08,Van De Mieroop JANES 18 8
NIPPUR 458,1985,Shu-ilishu,2,11,24,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0570,-,OIM A30007,-,P200674,-,JANES 18 45 09,-
UR 106,1982,Shu-ilishu,5,10, -,Ganunmah (expenditure),Ur's Ganunmah (TTB),Administrative - expenditure,,,U 21364,-,Penn �,T2490,P466620,U.21364,JCS 28 237 01,Loding JCS 28 1
NIPPUR 460,1981,Shu-ilishu,6,5,-,"E-Enlil (Deliveries, flour sa-du)",Nippur's Scribal Quarter (TB),Administrative - Donation,153,III/1,2N-T0558,-,OIM A29995,-,P200676,-,JANES 18 45 11,-
NIPPUR 459,1981,Shu-ilishu,6,5,11,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0557,-,OIM A29994,-,P200675,-,JANES 18 45 10,-
NIPPUR 451,1978,Shu-ilishu,9,-,-,"E-Enlil (Account, bread and flour)",Nippur's Scribal Quarter (TB),Administrative,201/203,IV/1,2N-T0668,-,UM 55-21-125,-,P200662,-,BASOR 122 (1951) 047,-
NIPPUR 467,1974,Iddin-Dagan,3,6,-,"E-Enlil (Deliveries, bread sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0629,-,UM 55-21-103,-,P200684,-,JANES 18 48 22,-
NIPPUR 173,1967,Iddin-Dagan,A,12, -,"E-Enlil (Deliveries, dates and sweets)",Nippur's Scribal Quarter (TB),Administrative - Donation,196,IV/1,2N-T0628,-,UM 55-21-102,T22261,P200664,UM 55-21-102 = 2NT-628,JANES 18 48 21,Owen JCS 24 UM 24-21-102
NIPPUR 174,1967,Iddin-Dagan,A,6, -,"E-Enlil (Expenditures, bread)",Nippur's Scribal Quarter (TB),Administrative - Delivery,196,IV/1,2N-T0630,-,UM 55-21-104,T22262,P200663,UM 55-21-104 = 2NT-630,JANES 18 48 20,Owen JCS 24 UM 24-21-104
NIPPUR 172,1965,Iddin-Dagan,C,12, -,"E-Enlil (Deliveries, sweets?)",Nippur's Scribal Quarter (TB),Administrative - Donation,196,IV/1,2N-T0627,-,UM 55-21-101,T22263,P200665,UM 55-21-101 = 2NT-627,JANES 18 48 23,Owen JCS 24 UM 24-21-101
NIPPUR 474,1963,Iddin-Dagan,E,-,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0573,-,OIM A30010,-,P200691,-,JANES 18 50 30,-
NIPPUR 471,1963,Iddin-Dagan,E,10,09,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0563,-,OIM A30000,-,P200688,-,JANES 18 49 27,-
NIPPUR 472,1963,Iddin-Dagan,E,10,22,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0565,-,OIM A30002,-,P200689,-,JANES 18 50 28,-
NIPPUR 473,1963,Iddin-Dagan,E,10,28,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0564,-,OIM A30001,-,P200690,-,JANES 18 50 29,-
NIPPUR 475,1962,Iddin-Dagan,F,-,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0566,-,OIM A30003,-,P200692,-,JANES 18 51 31,-
NIPPUR 468,1962,Iddin-Dagan,F,8,12,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0562,-,OIM A29999,-,P200685,-,JANES 18 48 24,-
NIPPUR 470,1962,Iddin-Dagan,F,9,-,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0561,-,OIM A29998,-,P200687,-,JANES 18 49 26,-
NIPPUR 469,1962,Iddin-Dagan,F,9,26,"E-Enlil (Deliveries, animal sa-du)",Nippur's Scribal Quarter (TB),Administrative - Delivery,153,III/1,2N-T0560,-,OIM A29997,-,P200686,-,JANES 18 49 25,-
UR 3366,1950,Ishme-Dagan,E,-,-,Ganunmah,Ur's Ganunmah (TTB),unk,Room 32,34,U 00355,-,IM 067670,-,P504353,-,-,-
UR 790,1950,Ishme-Dagan,E,3, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,,U 00165,-,IM 057312,T13082,P415165,IM 57312 = U.165,UET 5 281,UET 5 281
UR 157,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - arua,,,U �,-,IM 090238,T22405,P381889,IM 90238,"Nisaba 12 /1, 18",Nisaba 12 I 18
UR 364,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - expenditure,,,U �,-,IM 090237,T22648,P448841,IM 90237,Nisaba 19 141,Nisaba 19 141
UR 789,1950,Ishme-Dagan,E,7, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00360,-,IM 057311,T13081,P415164,IM 57311 = U.360,UET 5 280,UET 5 280
UR 3367,1949,Ishme-Dagan,F,-,-,Ganunmah,Ur's Ganunmah (TTB),unk,Room 32,34,U 00359,-,IM �,-,P504354,-,-,-
UR 788,1949,Ishme-Dagan,F,10, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00164,-,IM 057310,T13080,P415163,IM 57310 = U.164,UET 5 279,UET 5 279
UR 158,1949,Ishme-Dagan,F,5, -,Ganunmah (Temple deliveries),Ur (unprov),Administrative - arua,,,U �,-,IM 090432,T22406,P381890,IM 90432,"Nisaba 12 /1, 19",Nisaba 12 I 19
UR 787,1949,Ishme-Dagan,F,5, -,Ganunmah (Temple deliveries),Ur's Ganunmah (TTB),Administrative - arua,,Z?,U 00352,-,IM 057309,T13079,P415162,IM 57309 = U.352,UET 5 278,UET 5 278
